note; resume; opinions

10;Très bon séjour ; Très bel appartement. Personnel très agréable et respectueux. On se sent vraiment chez soi| Le standing et la qualité des services et des équipements |
10;Agréable, apaisant, sans prise de tête; Tout était parfait Je n'ai sincèrement rien à redire J'y retournerais sans réfléchir pour les prochaines vacances| J'ai TOUT aimé en toute sincérité. Localisation, propreté, accueil, petit dej trop bon , il ya de l'eau chaude et de froide, la climatisation, salon et salle à manger, micro ondes, TOUT TOUT TOUT. J'ai eu du mal à croire au tarif jusqu'à ce j'intègre les lieux, sans concurrence. Je recommande totalement.|
10;Formidable wow; Rien| Acceuil parfait|
8.0;Tres bien; Plus d ustensiles cuisine| Pas mal et un peu lourd.|
10;Beau cadre comfortable à prix intétressant; Quelques indications complémentaires pour localiser le lieu peuvent être nécessaires mais tout est dans l'ordre avec la réactivité des hôtes| Appartement charmant avec toutes les fonctionalités au comfort, excellent rapport qualité/prix, personnel avenant et service de qualité|
9.0;excellent; Le wifi qui se deconnectait très souvent| tout était OK.|
10;Le top des hébergements depuis mes fréquents séjours à Douala ; Propriétaire disponible et très accueillante service parfait |
10; Exceptionnel ; Tout était pas parfait on aurai dit une ile paradisiaque. |
8.0;Tres bien; Le wifi était trop nul voir inexistant| Top les différents petits déjeuners|
9.0;Parfaite; Rien| La totale  De l'accueil à la sortie|
10; Exceptionnel ; RAS| Tout c'est très bien passé durant notre sejour j'étais avec un bébé de 7 mois.  Je remercie les hôtes pour leurs gentillesses elles étaient au petit soins. Jen ai fait des logements au cameroun celui ci rentre dans mon top 3. En plus le prix est tres abordable et une propreté irréprochable.  Ce qui est sur quand je reviendrai sur douala c'est laba que je resterai.  Il ya un peu de tout a proximité pharmacie... magasins de nourriture...marché. On était tellement bien qu'on  ne voulait pas rentré. Merci encore a toute l'équipe.|
9.0; Fabuleux  ; Wifi très faible | Propreté et excellent service surtout disponibilité courtoisie dérivabilité  de la gouvernante MATOUTOU Jy passerai tous mes prochains sejours |
9.0; Fabuleux  ; Top|
9.0; Fabuleux  ; Presque parfait|
8.0; Très bien ; Hummm... je cherche ... je cherche...😅😅 il faut bien dire qqch, alors je dirai,le fait que le chien des voisins du quartier soit venu intimider mon chiot 😅😅 . C'est pas de la faute de l'établissement je sais 😄 mais je devais dire qqch . Bon un peu de sérieux , pensez déjà à recevoir les payement par transfert mobile ,et installer une ligne téléphonique pour joindre les gentilles dames de l'accueil .| Emplacement top  Logement top Équipement top  Personnel Top Top  Service top  Même mon chiot a tellement aimé qu'au départ il voulait pas partir 😅  Nous reviendrons c'est sûre et certain. |
10;❤️❤️❤️; C’est devenu ma résidence lors de mes séjours à Douala. Fan +++ de la team Matoutou |
10;Qualité excellente et constante ; Tout...  Comme d’habitude J’en ai fait ma résidence lors de mes passages à Douala, pour l’accueil, le cadre, la propreté et Matoutou toujours aussi discrètement présente |
9.0; Fabuleux  ; Manque de deo pour les toilettes et ustensiles de cuisine insuffisant pour faire un repas avec des amis.| Accueil 100% Propreté 100% Petit déjeuner très bon et a la hauteur du prix. Satisfaction 90%|
8.0;Un sejour court mais tres agreable. Je m'y suis senti vraiment a mon aise.; Rien a signaler!| L'appart etait nickel, tres propre, bien range. Les equipements etaient de bonne qualite et j'ai beaucoup apprecie le matelas de la chambre a coucher qui etait super confortable. Le petit dejeuner, copieux, etait servi a l'heure indiquee. Je salue la disponibilite et la serviabilite de Matoutou et du gardien de jour et recommande vivement cet appartement.|
10;Magnifique; Euh... Les chambres et les toilettes ne sont pas grand 😅 mais il ya de l'espace ils ont su exploiter pour dire vrai j'ai tout apprécié| Le service ( Matoutou est juste adorable ) était parfait, la propreté rien à dire, j'étais tellement à l'aise et au petit soin elle répond à toutes les questions sans problème, elle est disponible, très douce, gentil. Les photos et la réalité sont 👌|
10;Adresse à enregistrer pour les séjours à Douala; Que je demande mon petit-déjeuner pour 8h00 et qu’à 8h00 on me l’apporte, faut pas exagérer avec la qualité 😉 Juste pour dire qu’il n’y a rien à redire | Tout d’abord ma première impression, car la réalité  était conforme aux photos, ensuite la propreté éclatante des lieux et la décoration, très aérée et reposante. Et Matoutou la concierge qui est exceptionnelle de gentillesse et de disponibilité.|
